Film,Type,Distributor/Studio,Prod 1,Prod 2,Prod 3,Prod 4,Prod 5,Prod 6,,Gross (dom.) $,Date,CPI at,today,CPI Oct. 2015,IMDB,Open wkd,OP Wk (Real),Days avail.,Theatres (peak),Notes,Link,,
The Pacifier,,BV,,,,,,,,113086868,01/04/2005,195,138213538,,,30552694,,,3131,,,,
Popeye,L,Paramount,Walt Disney Pictures,Paramount Pictures,,,,,,49823037,01/12/1980,86,137309519,,5.2,,,,,,,,
Stakeout,,BV,Touchstone,Silver Screen Partners II,,,,,,65673233,01/07/1987,114,137254749,,6.6,5170403,,,951,,,,
Oliver and Company,A,Buena Vista,Wlat Disney Feature Animmation/Silver Screen Part. III/Walt Disney Pics.,Silver Screen Partners III,Walt Disney Pictures,,,,,53279055,01/11/1988,120,137218124,,6.7,4022752,,,1503,Re-issue: 1996,,,
Flubber,L,BV,,,,,,,,92977226,01/11/1997,162,136925805,,,26725207,,,2641,,,,
Turner & Hooch,,BV,Touch Stone,Silver Screen Partners IV,,,,,,71079915,01/07/1989,124,135896341,,,12211042,,,1877,,,,
Down and Out in Beverly Hills,,BV,Touchstone,Silver Screen Partners II,,,,,,62134225,01/01/1986,110,134834670,,,5726495,,,806,,,,
G-Force,,BV,,,,,,,,119436770,01/07/2009,215,131908384,,,31706934,,,3697,,,,
Dangerous Minds,,BV,,,,,,,,84919401,01/11/1995,154,131491279,,,14931503,,,1348,,,,
Unbreakable,,BV,Touch Stone,Barry Mendel Productions,,,,,,95011339,01/11/2000,174,129794985,,,30330771,,,2708,,,,
Into the Woods,,BV,,,,,,,,128002372,01/12/2014,235,129651926,,6,31051923,,,2440,,,,
Mr. Holland's Opus,,BV,,,,,,,,82569971,01/12/1995,154,127936656,,,14466,,,1,,,,
Bolt,,BV,,,,,,,,114053579,01/11/2008,212,127698129,,,26223128,,,3651,,,,
Three Men and a Little Lady,,BV,Touch Stone,Silver Screen Partners IV,,,,,,71609321,01/11/1990,134,127290117,,,13774642,,,1281,,,,
While You Were Sleeping,,BV,,,,,,,,81057016,01/04/1995,152,126915330,,,9288915,,,1421,,,,
Bedtime Stories,,BV,,,,,,,,110101975,01/12/2008,210,124562064,,,27450296,,,3681,,,,
The Emperor's New Groove,,BV,,,,,,,,89302687,01/12/2000,174,122066508,,,9812302,,,2801,,,,
Father of the Bride Part II,,BV,Touch Stone,Sandollar Productions and The Meyers/Shyer Company,,,,,,76594107,01/08/1995,153,119143160,,,11134978,,,1949,,,,
The Princess Diaries 2: Royal Engagement,,BV,,,,,,,,95170481,01/11/2004,191,118508675,,,22956453,,,3472,,,,
